언론사,로고url,날짜,기사명,섹션,본문,url,회사명,회사종류,좋아요,추천반응수,댓글 수,요약문,키워드1,키워드2,키워드3,키워드4
데일리안,https://mimgnews.pstatic.net/image/upload/office_logo/119/2017/12/27/logo_119_38_20171227163327.png,4:41 PM 2022/01/12,"신라호텔, '프리미엄' 상품 강화한 설 선물세트 출시",경제,신라호텔은 명절 선물로 가장 인기가 좋은 한우를 총 17종의 설 선물세트로 선보였다. 신라호텔 신라호텔이 프,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002566284,삼성전자,IDM,1,1065,0,"['한우 굴비 등 명절 선물세트의 베스트셀러뿐만 아니라 송로버섯 자연송이 등 진귀한 식재료를 활용해 길어지는 팬데믹에 건강을 챙길 수 있는 선물세트를 다채롭게 준비했다.', '한편 신라호텔은 올해 처음으로 프리미엄 밀키트 를 명절 선물세트로 출시했다.', '신라호텔은 명절 선물로 가장 인기가 좋은 한우를 총 17종의 설 선물세트로 선보였다고 12일 밝혔다.']",#선물,#세트,#프리미엄,#호텔
SBS Biz,https://mimgnews.pstatic.net/image/upload/office_logo/374/2020/12/29/logo_374_38_20201229153142.jpg,7:26 AM 2022/01/12,"[글로벌 비즈] 삼성전자, 인텔 제치고 세계 반도체 매출 1위 눈앞으로… 지각변동 예상",경제,동영상 뉴스 경제와이드 모닝벨 글로벌 비즈 임선우 외신캐스터 글로벌비즈입니다. 삼성전자 반도체 매출 1위 삼,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000271322,삼성전자,IDM,3,6,3,"['업계에 따르면 리퍼비시 시장은 전 세계 전자제품 총 매출의 약 6 를 차지하는데 불과하지만 프리미엄 브랜드의 플래그십 제품을 저렴한 가격에 사고자 하는 수요가 늘고 있어 성장세는 더 가팔라질 것으로 보입니다.', '시장조사업체 가트너는 윈도와 오피스가 전체 매출의 3분의1 이상을 차지하는 등 여전히 시장에서 주도적인 위치에 있고 고객들을 클라우드 서비스로 끌어들이는 마중물 역할을 하고 있다며 엇갈린 평가를 내렸습니다.', '특히 지난 2015년 MS가 100억 달러에 육박한 돈을 들여 모바일 사업에 발을 들였다 윈도 지원을 중단하는 등 중구난방한 모습을 보였다며 이제는 MS의 대표 클라우드인 아주르에 집중해야 한다고 자신의 생각을 밝혔습니다.']",#반도체,#매출,#시장,#판매
한국경제,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,9:02 PM 2022/01/12,"삼성·하이닉스 '매출 신기록' 이유 있네…""韓, 반도체장비 최대 투자국""",경제,국제반도체장비재료협회 분석 올해 반도체 장비 투자 역대 최대 삼성전자 평택캠퍼스 전경 올해 전 세계 반도체 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004652238,하이닉스,IDM,37,1365,15,"['12일 반도체 업계에 따르면 국제반도체장비재료협회 SEMI 는 최근 보고서를 통해 올해 전 세계 반도체 장비 투자액이 전년 대비 10 증가해 사상 최대 규모인 980억달러 약 116조6000억원 에 달할 것으로 추정했다.', '국제반도체장비재료협회 분석 올해 반도체 장비 투자 역대 최대 삼성전자 평택캠퍼스 전경 올해 전 세계 반도체 장비투자 규모가 역대 최대를 기록할 것이라는 전망이 나왔다.', '부문별로는 파운드리 반도체 위탁생산 분야에 대한 투자가 전년 대비 13 증가해 올해 전체 반도체 장비 투자의 46 를 차지할 것으로 예상했다.']",#반도체,#장비,#투자,#올해
뉴스1,https://mimgnews.pstatic.net/image/upload/office_logo/421/2017/12/27/logo_421_38_20171227165727.png,6:09 PM 2022/01/12,"스코넥, 2월초 코스닥 상장…""메타버스 기술 선도기업 도약""",경제,13 14일 기관 수요예측 공모가 확정 20 21일 일반 공모 청약 12일 스코넥 온라인 기자간담회에서 황대,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005841150,소니,IDM,1,231,0,"['황대실 스코넥 대표이사는 12일 온라인 기자간담회에서 기업공개를 계기로 투자자들에게 스코넥이 보유한 국내 유일의 대공간 XR 워킹 시스템 기술과 핵심 경쟁력을 소개할 수 있었다 면서 상장으로 조달된 자금은 메타버스 콘텐츠 개발 등에 사용할 계획이고 상장 후 메타버스 기술 선도 기업으로 도약하겠다 고 밝혔다.', '황 대표는 메타버스 기술과 연계 가능한 XR 시장이 급성장함에 따라 해당 기술과 다양한 산업간 연계를 통해 차별화된 비즈니스모델을 확보해 나갈 것 이라면서 이번 공모를 통해 마련되는 자금은 컨슈머 VR게임 XR 교육훈련 시스템 개발 메타버스 콘텐츠 개발 등 연구개발자금에 사용할 것 이라고 밝혔다.', '스코넥 제공 뉴스1 서울 뉴스1 손엄지 기자 가상현실 VR 메타버스 기술업체 스코넥엔터테인먼트 이하 스코넥 가 2월초 코스닥 시장에 상장한다.']",#기술,#메타,#버스,#개발
이데일리,https://mimgnews.pstatic.net/image/upload/office_logo/018/2017/12/27/logo_018_38_20171227161627.png,9:23 AM 2022/01/12,"티씨케이, 1Q 사상 최대 실적 전망…조정시 '비중확대'-키움",경제, 키움증권은 12일 티씨케이 064760 가 올 1분기 사상 최대 실적을 낼 것이라고 전망했다. 업종 내 최,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005125102,하이닉스,IDM,2,359,2,"['박유악 키움증권 연구원은 작년 4분기 매출액은 전년 동기보다 15 늘어난 684억원 영업이익은 같은 기간 22 증가한 264억원을 기록하며 시장 기대치에 부합할 것 이라고 내다봤다.', '박 연구원은 티씨케이의 주가는 SiC Ring 시장 내 신규 경쟁사 진입 에 대한 우려로 급락한 후 강보합세를 보이고 있지만 올 상반기를 시작으로 200단 이상의 3D NAND 양산이 본격화되면서 티씨케이와 경쟁사간의 기술 격차가 재차 확대되기 시작할 것 이라고 전망했다.', '또 올 상반기 중 SK하이닉스 M15 및 키오시아 Kioxia Y7 공장에 NAND의 신규 장비 증설이 단행될 것으로 보이는 가운데 1분기부터 티씨케이의 실적 성장 모멘텀이 재개될 것이란 평가다.']",#분기,#전년,#동기,#공장
아시아경제,https://mimgnews.pstatic.net/image/upload/office_logo/277/2017/12/27/logo_277_38_20171227165227.png,2:05 PM 2022/01/12,"블룸버그 ""中, 韓 바짝 추격""…기술패권 고삐 죄는 中",세계, 견제에도 화웨이 지난해 특허건수 5위로 뛰어올라 삼성은 2위 유지 중부 정보기술 IT 업체 화웨이가 지난해,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=277&aid=0005029524,삼성전자,IDM,2,1935,1,"['블룸버그통신은 화웨이가 9위에서 5위로 점프한 것은 다른 기업들의 특허 취득 건수가 7 감소한 것이 한 요인 이라고 분석했다.', '삼성전자가 글로벌 특허 보유 누적 건수 1위를 유지한 가운데 2 7위는 화웨이와 중국사회과학원을 포함한 중국 기업 기관이 휩쓸었다.', '10일 현지시간 블룸버그통신이 특허분석 플랫폼 IFI클레임스 보고서를 인용해 보도한 바에 따르면 화웨이는 지난해 미국에서 2770건의 특허를 취득한 것으로 나타났다.']",#특허,#건수,#지난해,#취득
이데일리,https://mimgnews.pstatic.net/image/upload/office_logo/018/2017/12/27/logo_018_38_20171227161627.png,9:23 AM 2022/01/12,"""한 번 뒤처지면 끝""…삼성전자, 인텔 제치고 반도체 1위 오른다",경제,블룸버그 삼성 지난해 반도체 매출 인텔 제칠 것 글로벌 1위 인텔 이미 주식시장선 TSMC보다 3배 낮게 평,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005125105,삼성전자,IDM,15,288,5,"['블룸버그 삼성 지난해 반도체 매출 인텔 제칠 것 글로벌 1위 인텔 이미 주식시장선 TSMC보다 3배 낮게 평가 삼성전자 005930 가 인텔을 제치고 전 세계 반도체 시장에서 1위에 오를 것이란 전망이 나왔다.', '다만 기술 분야는 한 번 뒤처지면 다시 회복하기 어렵단 점에서 인텔이 다시 반도체 산업의 왕좌를 차지할지는 불투명한 것으로 평가된다.', '사진 연합뉴스 11일 현지시간 블룸버그는 작년 1 3분기 인텔의 판매량을 근소하게 앞섰던 삼성전자가 한 해 전체 매출에서 우위를 점할 전망 이라고 보도했다.']",#인텔,#반도체,#시장,#삼성전자
조선비즈,https://mimgnews.pstatic.net/image/upload/office_logo/366/2017/12/27/logo_366_38_20171227165527.png,6:55 PM 2022/01/12,"G마켓·옥션, 2주간 설맞이 세일… 인기 선물세트 최대 82% 할인",경제,오는 25일까지 2주간 설맞이 세일최대 10만원 할인쿠폰도 제공 G마켓 옥션 2022 설빅세일 오픈. G마켓,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000786859,삼성전자,IDM,0,586,0,"['오는 25일까지 2주간 설맞이 세일최대 10만원 할인쿠폰도 제공 G마켓 옥션 2022 설빅세일 오픈.', 'G마켓과 옥션은 1만원 이상 구매 시 최대 1만원까지 할인되는 15 쿠폰 과 5만원 이상 구매 시 최대 5만원까지 할인되는 12 할인쿠폰 을 매일 1장씩 회원들에게 제공한다.', '기간 중 1회 10만원까지 할인받을 수 있는 15 쿠폰도 준다.']",#할인,#쿠폰,#마켓,#최대
파이낸셜뉴스,https://mimgnews.pstatic.net/image/upload/office_logo/014/2020/03/06/logo_014_38_20200306153406.png,6:25 PM 2022/01/12,[김경민의 적시타]LCD값 대폭락…국내기업 사실상 사업 철수,경제, 과 수년간 치킨게임 계속되며 패널가격 정점후 반년새 반토막 삼성 LGD 등 생산 줄이는 대신 프리미엄 시장,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004771276,삼성전자,IDM,17,1856,6,"[' 과 수년간 치킨게임 계속되며 패널가격 정점후 반년새 반토막 삼성 LGD 등 생산 줄이는 대신 프리미엄 시장 OLED 선점나서 코로나19에 따른 펜트업 보복소비 수요가 끝나면서 액정표시장치 LCD 패널 가격이 반년 만에 반토막이 나자 국내 디스플레이 업체들의 철수 움직임이 본격화되고 있다.', '12일 시장조사업체 DSCC에 따르면 지난해 여름 급등한 LCD 패널 가격이 피크아웃 정점을 찍고 내려오는 현상 하면서 현재는 고점 대비 반값에도 미치지 못하는 것으로 나타났다.', '현재 OLED 세트를 만드는 업체 중 삼성전자와 중국의 TCL 2곳을 빼고 모든 업체들이 LG디스플레이의 패널을 공급받고 있다.']",#디스플레이,#패널,#가격,#달러
머니투데이,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/03/02/logo_008_38_20200302160202.png,3:58 PM 2022/01/12,"""中 확진자 한명에 닝보항 폐쇄""…삼성·도요타·폭스바겐도 '생산차질'",경제, 11일 현지시간 중국 산시성 시안에서 보건당국 직원들이 개인보호장비를 착용하고 코로나19 감염 방지 소독에,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004695333,삼성전자,IDM,1,266,3,"['WSJ은 전염력이 강한 오미크론 변이가 확산하는 가운데 중국 당국이 제로 코로나 정책을 유지하면서 간헐적인 생산과 공급망 차질이 빚어지고 있다면서 이로 인한 세계 경제의 충격을 우려하는 목소리들이 나오고 있다고 전했다.', 'HSBC의 아시아 경제 리서치 공동 책임자인 프레더릭 뉴먼은 오미크론 변이가 공급망 병목현상을 크게 악화시킬 위험이 있다 면서 코로나19 발생 이후 중국이 세계 공급망에서 차지하는 역할이 더 커진 상태이기 때문에 최악의 공급망 차질이 나타날 수도 있다 고 우려했다.', '톈진에 항공기 조립공장을 두고 있는 에어버스는 아직 중국 내 공급 차질은 발생하지 않았다고 밝혔지만 오미크론 변이가 지난해와 2020년과는 다른 상황을 야기할 수 있기 때문에 중국 내 상황을 주시하고 있다고 말했다.']",#중국,#코로나,#공급,#세계
머니S,https://mimgnews.pstatic.net/image/upload/office_logo/417/2017/12/27/logo_417_38_20171227165627.png,11:01 AM 2022/01/12,"삼성전자, 시총 468조원 ‘부동의 1위’… 네이버 3위 등극",경제,삼성전자가 시가총액 1위를 수성했다. 사진 뉴시스 최근 1년 새 시가총액 시총 100대 기업의 순위가 크게 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000774592,하이닉스,IDM,8,13151,6,"['삼성전자의 시총은 지난해 초 495조4919억원에서 올해 총 469조2249억원으로 줄었지만 여전히 압도적인 1위를 유지했다.', '메리츠금융지주는 작년 초 시총 순위 194위 1조2972억원 에서 올해 초 65위 6조975억원 로 128계단 점프했다.', '사진 뉴시스 최근 1년 새 시가총액 시총 100대 기업의 순위가 크게 뒤바뀐 가운데 삼성전자가 부동의 1위를 지킨 것으로 나타났다.']",#올해,#순위,#계단,#기업
서울경제,https://mimgnews.pstatic.net/image/upload/office_logo/011/2017/12/27/logo_011_38_20171227161527.png,4:41 PM 2022/01/12,"DB하이텍, 신규 RF칩 공정으로 5G 시장 공략",경제, DB하이텍은 신규 통신 칩 제조 공정 기술로 5G 시장을 공략한다고 12일 밝혔다. 회사는 130 110나,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004007307,DB하이텍,Foundry,0,258,0,"['RF프론트엔드 분야에서 DB하이텍이 겨냥하는 제품은 스위치와 저잡음증폭기 LNA 다.', 'DB하이텍은 팹리스 고객들이 RF프론트엔드 시장에 적기에 진입할 수 있도록 고객 지원에 적극적으로 나서고 있다.', '130 기술을 기반으로 한 RF SOI 공정은 올 상반기 내 150 이상 LNA 제품을 지원할 수 있도록 준비 중이다.']",#공정,#프론트,#엔드,#제품
